observation.state,action,episode_index,frame_index,timestamp,next.done,index,task_index,data_file
"[-0.01016712 -0.94961727  1.1726686  -0.01969441 -0.33357254 -0.00189278
  0.17204997 -0.00225831 -0.9822699   1.1757877  -0.00512446 -0.31255925
  0.06132135  0.15128498]","[-0.01380583 -0.94800013  1.1688933  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.9848157   1.1719613  -0.00306796 -0.32213598
  0.06135923  0.20852551]",1,10,0.2,False,410,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01064075 -0.94936955  1.1726348  -0.01976277 -0.33358333 -0.00295921
  0.18014872 -0.00236452 -0.9828225   1.1757483  -0.00505694 -0.31304255
  0.06147371  0.15834096]","[-0.01380583 -0.94800013  1.1704273  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.9848157   1.1719613  -0.00306796 -0.32213598
  0.06135923  0.20852551]",1,11,0.22,False,411,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01105301 -0.94917715  1.1731173  -0.01986144 -0.33370292 -0.00334071
  0.18717925 -0.00245657 -0.9833498   1.1757443  -0.00543993 -0.31331447
  0.06143103  0.16449487]","[-0.01380583 -0.94800013  1.1704273  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.9848157   1.1719613  -0.00306796 -0.32213598
  0.06135923  0.20852551]",1,12,0.24,False,412,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01141143 -0.94902307  1.1736966  -0.01993123 -0.3336016  -0.00306802
  0.19331369 -0.00253611 -0.98377687  1.1757494  -0.00574978 -0.31344798
  0.06135159  0.16988015]","[-0.01380583 -0.94800013  1.1704273  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.98328173  1.1719613  -0.00306796 -0.32213598
  0.06135923  0.20852551]",1,13,0.26,False,413,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01172316 -0.9488995   1.1740419  -0.01990687 -0.3334185  -0.00303633
  0.19865854 -0.00260511 -0.98391104  1.1757492  -0.00587653 -0.31354427
  0.06136345  0.17457905]","[-0.01380583 -0.94800013  1.1704273  -0.01687379 -0.34207773 -0.00460194
  0.2333815  -0.00306796 -0.98174775  1.1719613  -0.00306796 -0.32213598
  0.05982525  0.20852551]",1,14,0.28,False,414,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01199432 -0.94880223  1.1741908  -0.01974038 -0.33331278 -0.00451871
  0.20331283 -0.0026651  -0.9837046   1.1757473  -0.00572432 -0.31360158
  0.05995456  0.17867428]","[-0.01227185 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00460194
  0.2333815  -0.00306796 -0.9786798   1.1719613  -0.00306796 -0.320602
  0.05982525  0.20852551]",1,15,0.3,False,415,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01210372 -0.94872993  1.174701   -0.01978988 -0.333475   -0.00493115
  0.2072922  -0.00271772 -0.9830134   1.175729   -0.00586673 -0.31324857
  0.05955299  0.18221824]","[-0.01380583 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00460194
  0.2333815  -0.00306796 -0.9756118   1.1719613  -0.00306796 -0.319068
  0.05982525  0.20852551]",1,16,0.32,False,416,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01226131 -0.9486716   1.175263   -0.01995747 -0.33346087 -0.00457697
  0.2108502  -0.00276309 -0.9818291   1.1757153  -0.0059318  -0.31237075
  0.05986626  0.18532947]","[-0.01380583 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.97100985  1.1734953  -0.00306796 -0.31600004
  0.06135923  0.20852551]",1,17,0.34,False,417,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01245458 -0.94862366  1.1755887  -0.02011799 -0.33335063 -0.00314232
  0.21394385 -0.00280259 -0.98004276  1.1761642  -0.0059584  -0.31094414
  0.06132412  0.18805254]","[-0.01380583 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.961806    1.1734953  -0.00306796 -0.3129321
  0.06135923  0.20852551]",1,18,0.36,False,418,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01262923 -0.948586    1.1757264  -0.01991315 -0.3332889  -0.00279491
  0.2166364  -0.00283671 -0.9770569   1.1766956  -0.00575784 -0.30872673
  0.06169079  0.19042459]","[-0.01380583 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.9541361   1.1719613  -0.00306796 -0.30833015
  0.06135923  0.20852551]",1,19,0.38,False,419,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.0127825  -0.94855696  1.1757656  -0.01979548 -0.33329007 -0.0030975
  0.21894115 -0.00286681 -0.97298646  1.1765416  -0.00575727 -0.30532706
  0.06137701  0.1924339 ]","[-0.01380583 -0.94800013  1.1704273  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.94339824  1.1719613  -0.00306796 -0.30219424
  0.06135923  0.20852551]",1,20,0.4,False,420,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01291594 -0.9485313   1.1753001  -0.01989687 -0.3331395  -0.00311585
  0.22094633 -0.0028928  -0.96772605  1.1761031  -0.0058435  -0.30108187
  0.06132946  0.19420746]","[-0.01380583 -0.94800013  1.1704273  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.93266034  1.1719613  -0.00306796 -0.2945243
  0.06289321  0.20852551]",1,21,0.42,False,421,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01303175 -0.94851387  1.1747334  -0.01992083 -0.33321223 -0.00308148
  0.222704   -0.00291533 -0.9613227   1.1757944  -0.00599716 -0.2956424
  0.06281563  0.19576813]","[-0.01380583 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.92345643  1.1719613  -0.00306796 -0.28378645
  0.06289321  0.20852551]",1,22,0.44,False,422,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01313249 -0.94850624  1.1748611  -0.01982224 -0.3335615  -0.00308286
  0.22422484 -0.0029347  -0.9541933   1.1756419  -0.00577481 -0.28822422
  0.06322859  0.19714722]","[-0.01227185 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00306796 -0.90658265  1.1719613  -0.00306796 -0.26691267
  0.06289321  0.20852551]",1,23,0.46,False,423,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01309346 -0.9484982   1.1752733  -0.01974268 -0.33362243 -0.00307106
  0.2254977  -0.00295002 -0.93392575  1.1751609  -0.00581969 -0.27963755
  0.06286921  0.19854149]","[-0.01380583 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00460194 -0.89431083  1.1719613  -0.00306796 -0.25157285
  0.06289321  0.20852551]",1,24,0.48,False,424,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01312228 -0.9484889   1.1755623  -0.01986345 -0.3334996  -0.00306188
  0.22667836 -0.00309329 -0.92180026  1.1754704  -0.00570342 -0.26428685
  0.06286349  0.19949971]","[-0.01380583 -0.94800013  1.1734953  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00460194 -0.88203895  1.1688933  -0.00306796 -0.23469907
  0.06289321  0.20852551]",1,25,0.5,False,425,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01320345 -0.9484841   1.1761701  -0.01989197 -0.33357364 -0.00309681
  0.2277057  -0.00328154 -0.91280305  1.1747849  -0.00578124 -0.24797519
  0.0629736   0.20024264]","[-0.01380583 -0.94800013  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.00613592 -0.8697671   1.1673595  -0.00306796 -0.21935926
  0.06135923  0.20852551]",1,26,0.52,False,426,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01328095 -0.94847476  1.1763129  -0.01996477 -0.3333093  -0.00307744
  0.22858927 -0.00357867 -0.899707    1.1731352  -0.00576024 -0.2329513
  0.06147856  0.20103961]","[-0.01380583 -0.94646615  1.1734953  -0.01840777 -0.34207773 -0.00306796
  0.2333815  -0.01380583 -0.8574953   1.1673595  -0.00306796 -0.20555343
  0.06289321  0.20935504]",1,27,0.54,False,427,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01334985 -0.9482684   1.1765553  -0.02050202 -0.3334309  -0.00301648
  0.22930822 -0.00453724 -0.8868313   1.1719321  -0.00624018 -0.21809739
  0.06246971  0.20197764]","[-0.01380583 -0.94646615  1.1734953  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.02147573 -0.8452234   1.1673595  -0.00306796 -0.1917476
  0.06289321  0.20935504]",1,28,0.56,False,428,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01340848 -0.9479976   1.1769222  -0.0205796  -0.3334657  -0.00316253
  0.23001762 -0.00633328 -0.87505955  1.1713701  -0.00620854 -0.20361428
  0.0631894   0.20292568]","[-0.01380583 -0.94493216  1.1734953  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.03374758 -0.8344856   1.1688933  -0.00306796 -0.18254372
  0.06289321  0.20935504]",1,29,0.58,False,429,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01345973 -0.94756496  1.1771472  -0.02024527 -0.33343074 -0.00311963
  0.23062308 -0.00927134 -0.8648266   1.17169    -0.00613911 -0.19073398
  0.06291571  0.20384501]","[-0.01380583 -0.94493216  1.1734953  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.04601942 -0.8222137   1.1704273  -0.00306796 -0.1764078
  0.0644272   0.20935504]",1,30,0.6,False,430,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01350484 -0.9471137   1.1772511  -0.01996152 -0.3333709  -0.00304694
  0.23112138 -0.01339762 -0.8520412   1.1726135  -0.00643443 -0.18093272
  0.06423535  0.20469871]","[-0.01380583 -0.94339824  1.1734953  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.05982525 -0.81300986  1.1719613  -0.00306796 -0.17180586
  0.0644272   0.20935504]",1,31,0.62,False,431,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01354421 -0.9465407   1.1772816  -0.01984055 -0.33337694 -0.00305751
  0.23154214 -0.01870912 -0.8429156   1.1740882  -0.00625698 -0.17242311
  0.06469923  0.20538025]","[-0.01380583 -0.94186425  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.0720971  -0.800738    1.1750293  -0.00306796 -0.17027187
  0.06289321  0.20935504]",1,32,0.64,False,432,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01357841 -0.9457736   1.1768146  -0.0198917  -0.33323222 -0.00307399
  0.23191334 -0.02499049 -0.83100665  1.1759923  -0.00595931 -0.16755529
  0.06296668  0.20595944]","[-0.01380583 -0.94033027  1.1719613  -0.01687379 -0.34207773 -0.00306796
  0.2333815  -0.08436894 -0.7915341   1.1811652  -0.00153398 -0.17027187
  0.05829127  0.20935504]",1,33,0.66,False,433,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01360797 -0.944846    1.1762489  -0.01990744 -0.3333008  -0.00309196
  0.23224449 -0.03206025 -0.8217035   1.1795532  -0.00486188 -0.16455173
  0.05815588  0.20640565]","[-0.01380583 -0.9387963   1.1719613  -0.01687379 -0.34207773 -0.00460194
  0.2333815  -0.09817477 -0.7823302   1.1857672  -0.00306796 -0.17180586
  0.05368933  0.20935504]",1,34,0.68,False,434,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.0136336  -0.9437902   1.1759118  -0.01972988 -0.33345604 -0.00451474
  0.2325387  -0.04286585 -0.8132267   1.184046   -0.00570059 -0.16345029
  0.05305278  0.2075367 ]","[-0.01380583 -0.9372623   1.1704273  -0.01687379 -0.34207773 -0.00613592
  0.2333815  -0.11044662 -0.7715924   1.1903691  -0.00460194 -0.17333983
  0.05368933  0.20935504]",1,35,0.7,False,435,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01365628 -0.9426278   1.1752995  -0.01978717 -0.33335936 -0.00634093
  0.23278306 -0.05682897 -0.8020534   1.1886486  -0.0077642  -0.16396639
  0.05267983  0.20852578]","[-0.01380583 -0.9372623   1.1704273  -0.01840777 -0.34207773 -0.00613592
  0.2333815  -0.12271847 -0.76238847  1.1949711  -0.00460194 -0.17794177
  0.05368933  0.20935504]",1,36,0.72,False,436,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01367673 -0.94158936  1.1747036  -0.02062154 -0.33336034 -0.00637381
  0.23296146 -0.06888989 -0.7926363   1.1933936  -0.00715022 -0.16527095
  0.05377861  0.20788138]","[-0.01380583 -0.9341943   1.1719613  -0.01840777 -0.34207773 -0.0076699
  0.2333815  -0.13192235 -0.7531846   1.199573   -0.00460194 -0.1840777
  0.05215535  0.2101864 ]",1,37,0.74,False,437,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01369316 -0.9403552   1.1748296  -0.02110449 -0.3336947  -0.00754115
  0.23319028 -0.07744841 -0.7839241   1.1980803  -0.0056917  -0.16854675
  0.05266015  0.20678458]","[-0.01380583 -0.9341943   1.1719613  -0.01687379 -0.34207773 -0.0076699
  0.2333815  -0.13805827 -0.7455147   1.204175   -0.00460194 -0.19021362
  0.05215535  0.2101864 ]",1,38,0.76,False,438,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01370687 -0.9391632   1.1752555  -0.0209254  -0.33368275 -0.00806752
  0.2334365  -0.0850935  -0.7760972   1.202699   -0.00603507 -0.17325428
  0.05202137  0.20645589]","[-0.01380583 -0.93266034  1.1719613  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.73937875  1.208777   -0.00460194 -0.19634955
  0.05062137  0.21185525]",1,39,0.78,False,439,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01372003 -0.93798923  1.1755528  -0.02081754 -0.3335169  -0.00904388
  0.23359457 -0.09208755 -0.7687833   1.2072656  -0.0064387  -0.17882594
  0.05072696  0.20647863]","[-0.01380583 -0.93112636  1.1734953  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.7301749   1.2133788  -0.00460194 -0.20555343
  0.05062137  0.21353163]",1,40,0.8,False,440,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.0137317  -0.93675363  1.1761612  -0.02118875 -0.33358178 -0.00944117
  0.23371282 -0.0982604  -0.76114947  1.2118194  -0.00676537 -0.1857348
  0.05038695  0.20668967]","[-0.01380583 -0.93112636  1.1734953  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.722505    1.2149128  -0.00460194 -0.21322334
  0.05062137  0.2152161 ]",1,41,0.82,False,441,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01374125 -0.9356561   1.1767763  -0.021494   -0.33345675 -0.00923556
  0.23386219 -0.10363999 -0.75328356  1.2154363  -0.0068945  -0.19294918
  0.05069783  0.20709786]","[-0.01380583 -0.93112636  1.1750293  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.71636903  1.2164468  -0.00613592 -0.22089323
  0.05062137  0.21690844]",1,42,0.84,False,442,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01374939 -0.93477756  1.1775923  -0.02150576 -0.33345288 -0.00920276
  0.23400362 -0.10832119 -0.7459156   1.2179549  -0.00745271 -0.20030062
  0.05080102  0.20766784]","[-0.01380583 -0.93112636  1.1750293  -0.01840777 -0.34514567 -0.00920388
  0.2333815  -0.13959226 -0.70869917  1.2179807  -0.00613592 -0.22856314
  0.05062137  0.21946152]",1,43,0.86,False,443,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01375679 -0.9340803   1.1783178  -0.02148773 -0.33414963 -0.00922021
  0.2341184  -0.11239243 -0.7386307   1.2198046  -0.00807795 -0.20803395
  0.05064833  0.20852517]","[-0.01380583 -0.93112636  1.1750293  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.70102924  1.2210487  -0.00613592 -0.23316509
  0.05062137  0.22375672]",1,44,0.88,False,444,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01376314 -0.9335357   1.1786606  -0.02150182 -0.3341788  -0.00922181
  0.23421554 -0.11593316 -0.73129016  1.2218102  -0.00832743 -0.21531653
  0.05060013  0.20982419]","[-0.01380583 -0.93112636  1.1750293  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.6933593   1.2210487  -0.00613592 -0.23469907
  0.05062137  0.22897649]",1,45,0.9,False,445,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01376866 -0.933108    1.178789   -0.02149512 -0.33378592 -0.00922296
  0.23430046 -0.11901294 -0.7238644   1.2233434  -0.00842995 -0.22036359
  0.05066299  0.21159388]","[-0.01380583 -0.9295924   1.1750293  -0.01840777 -0.34207773 -0.0076699
  0.2333815  -0.13959226 -0.68568945  1.2225827  -0.00613592 -0.23623304
  0.05062137  0.2360489 ]",1,46,0.92,False,446,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01377353 -0.9325689   1.1788208  -0.02162438 -0.33355924 -0.00779044
  0.23436102 -0.12169181 -0.71631527  1.2245795  -0.00840183 -0.22381625
  0.05066144  0.213976  ]","[-0.01380583 -0.9295924   1.1750293  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.67495155  1.2225827  -0.00613592 -0.23776703
  0.05062137  0.24598531]",1,47,0.94,False,447,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01377736 -0.9320372   1.1788237  -0.02128181 -0.33343503 -0.00881136
  0.23444383 -0.12402166 -0.7053581   1.225349   -0.00843938 -0.22663206
  0.05065166  0.21722054]","[-0.01380583 -0.9295924   1.1750293  -0.01687379 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.6642137   1.2210487  -0.00613592 -0.240835
  0.05062137  0.2589912 ]",1,48,0.96,False,448,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01378074 -0.9316042   1.1788206  -0.02076633 -0.33337027 -0.00960948
  0.23450881 -0.12604846 -0.69385445  1.2253009  -0.00846924 -0.22865452
  0.05065136  0.2215317 ]","[-0.01227185 -0.9295924   1.1765633  -0.01840777 -0.34514567 -0.00920388
  0.2333815  -0.13959226 -0.6550098   1.2195147  -0.00613592 -0.24236897
  0.05062137  0.27435547]",1,49,0.98,False,449,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.013658   -0.9312629   1.1793054  -0.02068629 -0.3343526  -0.00917249
  0.23445372 -0.12781176 -0.6850175   1.2245145  -0.00843462 -0.23015326
  0.05065957  0.22711068]","[-0.01380583 -0.9295924   1.1765633  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.642738    1.2195147  -0.00613592 -0.24236897
  0.05062137  0.29330578]",1,50,1.0,False,450,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01361363 -0.93099725  1.1798335  -0.02110138 -0.33448    -0.00910031
  0.23449504 -0.12934479 -0.6724302   1.2235425  -0.00843155 -0.23241264
  0.05063806  0.23432566]","[-0.01227185 -0.9295924   1.1765633  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.6304661   1.2179807  -0.00613592 -0.24390295
  0.05062137  0.31409627]",1,51,1.02,False,451,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01350392 -0.9307857   1.1801515  -0.0213749  -0.33399004 -0.00926777
  0.23451649 -0.13067861 -0.6592842   1.2225603  -0.00839296 -0.23376626
  0.05064039  0.24317546]","[-0.01380583 -0.9295924   1.1780972  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.61972827  1.2179807  -0.00613592 -0.2469709
  0.05062137  0.34020856]",1,52,1.04,False,452,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01347803 -0.93062145  1.1807678  -0.02152162 -0.33378667 -0.00925512
  0.23459522 -0.13183936 -0.6493546   1.2219123  -0.00828169 -0.2350672
  0.05065721  0.25394556]","[-0.01380583 -0.9295924   1.1780972  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.6089904   1.2164468  -0.00613592 -0.25003886
  0.05062137  0.3676151 ]",1,53,1.06,False,453,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01351268 -0.9304903   1.1813784  -0.02154999 -0.3335547  -0.00921941
  0.23465353 -0.1328487  -0.6391923   1.2210643  -0.00832424 -0.23739293
  0.05066672  0.26678833]","[-0.01380583 -0.9295924   1.1780972  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.59671855  1.2149128  -0.00613592 -0.25464082
  0.05062137  0.40125632]",1,54,1.08,False,454,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01354981 -0.9303856   1.1817183  -0.02152361 -0.33334512 -0.00921915
  0.23468806 -0.13372605 -0.6257432   1.2197838  -0.00842636 -0.24100964
  0.05063393  0.28205338]","[-0.01380583 -0.9295924   1.1780972  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13805827 -0.58598065  1.2149128  -0.00613592 -0.25924277
  0.05062137  0.43932623]",1,55,1.1,False,455,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
"[-0.01358302 -0.9303036   1.1818556  -0.02148864 -0.33325014 -0.00922145
  0.23470996 -0.13436249 -0.6152975   1.2189168  -0.00825378 -0.24450761
  0.05063607  0.29993373]","[-0.01380583 -0.9295924   1.1780972  -0.01840777 -0.34207773 -0.00920388
  0.2333815  -0.13959226 -0.5752428   1.2149128  -0.00613592 -0.26537868
  0.05062137  0.48365638]",1,56,1.12,False,456,0,aloha_sim_transfer_cube_human\data\chunk-000\file-000.parquet
