selection_rank,index,episode_index,frame_index,timestamp,task_index,coreset_score,action_delta,state_delta,vision_delta,rarity
57,829,2,29,0.58,0,0.08165298,0.02027791,0.01433133,0.028457353,0.42572358
58,834,2,34,0.68,0,0.04745654,0.013032052,0.0115815,0.024959994,0.22506632
59,839,2,39,0.78,0,0.04604157,0.009509537,0.00895703,0.016062211,0.24305613
60,846,2,46,0.92,0,0.033843704,0.012236971,0.007655004,0.015557692,0.15838392
61,850,2,50,1.0,0,0.039777916,0.020006862,0.00873091,0.015603168,0.17794663
62,856,2,56,1.12,0,0.043882906,0.044947557,0.016592069,0.014420795,0.13598698
63,860,2,60,1.2,0,0.057025246,0.03848478,0.026294088,0.024532586,0.20565937
64,866,2,66,1.32,0,0.059433915,0.010177346,0.014974942,0.03916066,0.28225294
65,870,2,70,1.4,0,0.045819487,0.0075727594,0.010006991,0.029065017,0.22267345
66,874,2,74,1.48,0,0.030167976,0.0027114903,0.008035237,0.014711116,0.15688244
67,896,2,96,1.92,0,0.033987086,0.005354747,0.004590828,0.03123204,0.15438138
68,926,2,126,2.52,0,0.029634152,0.03261398,0.022522599,0.013265775,0.061814427
69,938,2,138,2.76,0,0.030334558,0.0069659255,0.0033547254,0.024098588,0.14022103
70,942,2,142,2.84,0,0.08348325,0.010109145,0.00991628,0.08035456,0.38251558
71,948,2,148,2.96,0,0.087634616,0.015833756,0.014916793,0.052417535,0.43506142
72,952,2,152,3.04,0,0.11347626,0.022750616,0.019780653,0.046562023,0.59285253
73,958,2,158,3.16,0,0.113635205,0.027172508,0.02535602,0.04635804,0.57464206
74,962,2,162,3.24,0,0.11244261,0.032036837,0.022535583,0.06482619,0.5292618
75,966,2,166,3.32,0,0.08694485,0.022734443,0.022499282,0.037582844,0.42644837
76,970,2,170,3.4,0,0.12581274,0.020072289,0.021335127,0.061438896,0.6539595
77,974,2,174,3.48,0,0.052256577,0.015481636,0.015737318,0.028803036,0.2380194
78,988,2,188,3.76,0,0.034153316,0.0032082603,0.010350388,0.025148159,0.16103858
79,992,2,192,3.84,0,0.04332834,0.0037375316,0.01158293,0.01915523,0.22890443
80,996,2,196,3.92,0,0.055786528,0.0043721464,0.015747784,0.022000108,0.29879534
81,1000,2,200,4.0,0,0.06664679,0.0030915746,0.021527657,0.054191098,0.31090033
82,1004,2,204,4.08,0,0.06309061,0.0025723448,0.022328213,0.03259599,0.3230616
83,1011,2,211,4.22,0,0.057427153,0.0019173132,0.011349836,0.026791222,0.3148055
84,1016,2,216,4.32,0,0.04287004,0.0033208828,0.006371424,0.021830397,0.2310485
85,1022,2,222,4.44,0,0.054237198,0.015481636,0.01335391,0.024344092,0.26262748
86,1028,2,228,4.56,0,0.031243179,0.0068057864,0.0059996103,0.013652649,0.15965392
87,1033,2,233,4.66,0,0.042583473,0.0043721334,0.0043973736,0.009024325,0.25131866
88,1037,2,237,4.74,0,0.060135093,0.003637846,0.004723843,0.01774317,0.35496727
89,1042,2,242,4.84,0,0.059016004,0.0054903366,0.0037951367,0.025968373,0.3310234
90,1049,2,249,4.98,0,0.058291893,0.0027114681,0.004870581,0.013487222,0.35168952
91,1054,2,254,5.08,0,0.033102505,0.0022685954,0.00306745,0.020709647,0.17576146
92,1062,2,262,5.24,0,0.034608297,0.0033208705,0.00218618,0.014100817,0.19582827
93,1067,2,267,5.34,0,0.039192606,0.0012126153,0.0025386622,0.013174163,0.23226656
94,1078,2,278,5.56,0,0.030327506,0.0022685884,0.0053053615,0.01235395,0.1674578
95,1100,2,300,6.0,0,0.0357481,0.033184156,0.009012408,0.011506715,0.12669243
96,1114,2,314,6.28,0,0.06770679,0.02491026,0.020242251,0.03505992,0.30108437
97,1118,2,318,6.36,0,0.109211884,0.022177882,0.023482667,0.04991208,0.5540062
98,1123,2,323,6.46,0,0.1622339,0.033042304,0.022623805,0.03623274,0.9063664
99,1128,2,328,6.56,0,0.12851475,0.023182811,0.02652604,0.06220803,0.65478164
100,1132,2,332,6.64,0,0.1025861,0.019086746,0.02110724,0.044513304,0.53000396
101,1136,2,336,6.72,0,0.07430924,0.017368548,0.013121105,0.028171975,0.38604647
102,1142,2,342,6.84,0,0.074028164,0.007092914,0.009053027,0.027983481,0.41524342
103,1146,2,346,6.92,0,0.0825763,0.01379927,0.0085342,0.035269838,0.44530362
104,1150,2,350,7.0,0,0.076742314,0.010536459,0.014928144,0.03628843,0.40166938
105,1154,2,354,7.08,0,0.053074073,0.010723905,0.0089890305,0.02516134,0.27188742
106,1158,2,358,7.16,0,0.069062464,0.010217654,0.013867146,0.03628151,0.3529941
107,1162,2,362,7.24,0,0.059726372,0.008659781,0.011922329,0.025903454,0.31492668
108,1167,2,367,7.34,0,0.060933992,0.006265676,0.009310118,0.01959384,0.34343344
109,1172,2,372,7.44,0,0.056074716,0.013812476,0.005786628,0.018246371,0.30154735
110,1176,2,376,7.52,0,0.0763131,0.014752061,0.017555835,0.039986476,0.37842867
111,1180,2,380,7.6,0,0.0425799,0.0087862285,0.013174969,0.02216224,0.20446944
112,1187,2,387,7.74,0,0.0347322,0.0021003112,0.002559797,0.0073341383,0.21015738
113,1192,2,392,7.84,0,0.044566426,0.0040217615,0.0033592451,0.015033072,0.25707152
114,1196,2,396,7.92,0,0.07013698,0.0028438282,0.004215888,0.03878466,0.38927665
115,1600,4,0,0.0,0,0.7482515,1.0,1.0,0.47277907,0.20037818
116,1622,4,22,0.44,0,0.056776322,0.010325047,0.009278695,0.05522979,0.2469029
117,1627,4,27,0.54,0,0.0722885,0.011047417,0.0095072435,0.031655494,0.38754147
118,1632,4,32,0.64,0,0.06622529,0.012581247,0.00814655,0.03951557,0.3327088
119,1636,4,36,0.72,0,0.047414415,0.011471843,0.009126834,0.01848858,0.24330276
120,1642,4,42,0.84,0,0.043282907,0.006965912,0.00736976,0.01892785,0.22846955
121,1646,4,46,0.92,0,0.06000501,0.00950953,0.0075602173,0.026884152,0.3204372
122,1650,4,50,1.0,0,0.05141648,0.0089520095,0.007243961,0.03213431,0.25625804
123,1656,4,56,1.12,0,0.05690267,0.008840408,0.0076643415,0.021901907,0.30944642
124,1660,4,60,1.2,0,0.064512916,0.011187402,0.008007469,0.025660586,0.3478687
125,1664,4,64,1.28,0,0.071294665,0.01615793,0.008569365,0.054177254,0.33301818
126,1669,4,69,1.38,0,0.047911387,0.03363296,0.010944774,0.005931306,0.21280554
127,1674,4,74,1.48,0,0.07708832,0.06286409,0.022199607,0.03845282,0.26615188
128,1678,4,78,1.56,0,0.036404245,0.008951019,0.021328066,0.025824366,0.14322186
129,1689,4,89,1.78,0,0.03102595,0.0058154874,0.0056723165,0.0066892374,0.1726676
130,1694,4,94,1.88,0,0.031395882,0.007475049,0.005532157,0.027872099,0.13619035
131,1742,4,142,2.84,0,0.031715237,0.0057408726,0.0055313394,0.014170349,0.16520339
132,1798,4,198,3.96,0,0.03955839,0.05139544,0.007439148,0.013567299,0.10878915
133,1803,4,203,4.06,0,0.033739585,0.03178581,0.008091478,0.001082194,0.13547422
134,1807,4,207,4.14,0,0.03523355,0.023673436,0.02492726,0.0020365284,0.13471267
135,1813,4,213,4.26,0,0.030876001,0.010536474,0.008086101,0.00094247103,0.16620727
136,1817,4,217,4.34,0,0.07787291,0.0181131,0.017866466,0.030221026,0.396743
137,1821,4,221,4.42,0,0.085887946,0.02187748,0.022154283,0.048205744,0.4042721
138,1826,4,226,4.52,0,0.123411685,0.020204518,0.020952502,0.09455094,0.58309495
139,1830,4,230,4.6,0,0.1031971,0.027087698,0.019363165,0.06600296,0.48249915
140,1834,4,234,4.68,0,0.09622977,0.018390168,0.020152407,0.06129489,0.46287587
141,1841,4,241,4.82,0,0.08917631,0.018209362,0.018526789,0.05577781,0.4281792
142,1845,4,245,4.9,0,0.07499239,0.025305528,0.017173609,0.023543322,0.37304145
143,1850,4,250,5.0,0,0.10649577,0.026358614,0.025298657,0.07503058,0.48125294
144,1856,4,256,5.12,0,0.08776037,0.011819078,0.026084552,0.05068616,0.42954007
145,1860,4,260,5.2,0,0.054357044,0.002572342,0.018704461,0.023613183,0.28584874
146,1865,4,265,5.3,0,0.06349414,0.0014851432,0.012066773,0.035911113,0.33986577
147,1870,4,270,5.4,0,0.065765604,0.0035353506,0.008669526,0.031652197,0.36298534
148,1874,4,274,5.48,0,0.06464975,0.006696872,0.006053081,0.032704405,0.3507765
149,1879,4,279,5.58,0,0.05731023,0.005815488,0.004655426,0.014427386,0.33669403
150,1883,4,283,5.66,0,0.04198151,0.0052156337,0.00465726,0.008253542,0.24618892
151,1888,4,288,5.76,0,0.044095416,0.0065301023,0.0044618603,0.015614702,0.2452716
152,1893,4,293,5.86,0,0.055166934,0.0055568684,0.0046720817,0.034859564,0.28892744
153,1899,4,299,5.98,0,0.03267434,0.004617483,0.0036189687,0.0054808315,0.19188847
154,1958,4,358,7.16,0,0.037986234,0.033521697,0.0100424895,0.028279733,0.1111539
155,1970,4,370,7.4,0,0.03202345,0.013283493,0.007213134,0.020332001,0.13658628
156,1974,4,374,7.48,0,0.06521641,0.019962102,0.01847634,0.042072434,0.28728315
157,1978,4,378,7.56,0,0.055118375,0.014551337,0.014446191,0.021426057,0.27371562
158,1982,4,382,7.64,0,0.12173518,0.02733089,0.016553422,0.05751314,0.6243515
159,1986,4,386,7.72,0,0.084569484,0.024777073,0.025139961,0.058392342,0.36676288
160,1990,4,390,7.8,0,0.078615025,0.036358144,0.022458917,0.028449114,0.35441774
161,1994,4,394,7.88,0,0.09612135,0.03891289,0.02501497,0.043322034,0.43611723
162,2000,5,0,0.0,0,0.58654547,0.6001218,0.7297562,0.62467605,0.25263193
163,2018,5,18,0.36,0,0.057891324,0.009548109,0.0074647837,0.046659566,0.27345598
164,2024,5,24,0.48,0,0.08305354,0.0141932545,0.015056166,0.052835386,0.40742007
165,2028,5,28,0.56,0,0.067123584,0.016041351,0.012063448,0.024662424,0.34885094
166,2032,5,32,0.64,0,0.06943789,0.015096896,0.013661038,0.03091305,0.35340303
167,2036,5,36,0.72,0,0.051249474,0.01447536,0.012377878,0.021060932,0.25215596
168,2041,5,41,0.82,0,0.04113171,0.01057884,0.010107654,0.011471124,0.21356279
169,2045,5,45,0.9,0,0.02920332,0.009868605,0.0074590957,0.002429005,0.15518188
170,2057,5,57,1.14,0,0.03639337,0.0477041,0.019604284,0.003767907,0.09235925
171,2061,5,61,1.22,0,0.07728713,0.03136404,0.025298847,0.02074293,0.36532846
172,2066,5,66,1.32,0,0.057161003,0.0095865335,0.015405762,0.032141227,0.2794598
173,2070,5,70,1.4,0,0.04996076,0.011439757,0.008915778,0.029786699,0.24187483
174,2076,5,76,1.52,0,0.0406202,0.0073260246,0.0059430995,0.023595719,0.20447592
175,2082,5,82,1.64,0,0.032817714,0.005815483,0.0057730144,0.019598454,0.16292952
176,2086,5,86,1.72,0,0.036849286,0.00309157,0.007160489,0.025314905,0.18432258
177,2110,5,110,2.2,0,0.04118502,0.0066417498,0.018325709,0.027978867,0.18189509
178,2154,5,154,3.08,0,0.040062044,0.008659778,0.008362725,0.018444423,0.20219555
179,2158,5,158,3.16,0,0.033786915,0.010036148,0.0058832504,0.014547007,0.167778
180,2184,5,184,3.68,0,0.031038499,0.04015451,0.020484615,0.011125113,0.060546596
181,2197,5,197,3.94,0,0.068151236,0.010980662,0.014867438,0.024120338,0.3637404
182,2201,5,201,4.02,0,0.10633415,0.01837016,0.023521746,0.050474267,0.5427039
183,2206,5,206,4.12,0,0.12887752,0.033186603,0.023195395,0.07320792,0.62107587
184,2210,5,210,4.2,0,0.13539538,0.02393181,0.03009645,0.106017776,0.61993784
185,2214,5,214,4.28,0,0.114951864,0.023182774,0.022261156,0.052177634,0.58818793
186,2218,5,218,4.36,0,0.08501107,0.030084025,0.020224633,0.04559253,0.38684916
187,2222,5,222,4.44,0,0.0536474,0.021504652,0.022403833,0.022536263,0.23257162
188,2226,5,226,4.52,0,0.05378368,0.015457836,0.018660145,0.033455085,0.23563087
189,2230,5,230,4.6,0,0.039411567,0.0049997326,0.011341827,0.016179197,0.20520936
190,2236,5,236,4.72,0,0.03799789,0.0008574485,0.008427163,0.030611197,0.18625462
191,2242,5,242,4.84,0,0.037362345,0.002843815,0.020891078,0.022482218,0.1701579
192,2246,5,246,4.92,0,0.06424156,0.005422972,0.024254968,0.041284185,0.30639154
193,2252,5,252,5.04,0,0.05949954,0.00835736,0.013310914,0.03255051,0.30072737
194,2256,5,256,5.12,0,0.08253054,0.0064165452,0.010193882,0.06260908,0.41389337
195,2261,5,261,5.22,0,0.06908779,0.008744255,0.009006384,0.01478658,0.40052703
196,2266,5,266,5.32,0,0.061588734,0.022128116,0.013687864,0.021777013,0.29985115
197,2272,5,272,5.44,0,0.04612592,0.010109142,0.0062967557,0.024659129,0.23232499
198,2276,5,276,5.52,0,0.063041076,0.006805764,0.009960105,0.051539984,0.30189353
199,2280,5,280,5.6,0,0.04529694,0.006530118,0.007919269,0.027618356,0.22751327
200,2284,5,284,5.68,0,0.038960937,0.004372147,0.0057553044,0.015074264,0.21482196
201,2288,5,288,5.76,0,0.037704635,0.0032082773,0.004343503,0.014915428,0.21178003
202,2292,5,292,5.84,0,0.04346735,0.0040217633,0.0036591745,0.026832085,0.22957945
203,2377,5,377,7.54,0,0.031485885,0.051380534,0.008584919,0.004937428,0.067480735
204,2391,5,391,7.82,0,0.033542685,0.021333024,0.014267335,0.007824487,0.13702115
205,2395,5,395,7.9,0,0.059665766,0.023039622,0.015803022,0.029314145,0.26881737
206,2400,6,0,0.0,0,0.7606369,0.7800068,0.899374,0.9585431,0.1543684
207,2404,6,4,0.08,0,0.03468641,0.0012126135,0.013593235,0.020687569,0.17127861
208,2420,6,20,0.4,0,0.050361678,0.0068763415,0.012520743,0.03828014,0.23503156
209,2424,6,24,0.48,0,0.059861053,0.010466459,0.010044434,0.042028937,0.287863
210,2428,6,28,0.56,0,0.05619128,0.008744259,0.0075979806,0.03739468,0.27921748
211,2434,6,34,0.68,0,0.0533876,0.00879939,0.005407009,0.028946713,0.27812922
212,2438,6,38,0.76,0,0.045596953,0.0063152495,0.0058998605,0.023329124,0.24052912
213,2442,6,42,0.84,0,0.03854258,0.009231768,0.005463669,0.022983111,0.18799843
214,2446,6,46,0.92,0,0.031167842,0.01542777,0.006374379,0.014765819,0.13655382
215,2450,6,50,1.0,0,0.045456886,0.023625424,0.00970616,0.02581316,0.18872105
216,2455,6,55,1.1,0,0.054053806,0.04552768,0.017058695,0.0060417005,0.21562679
217,2459,6,59,1.18,0,0.05348069,0.028656762,0.02382609,0.011811535,0.23027611
218,2464,6,64,1.28,0,0.061328243,0.011503846,0.015305425,0.03174183,0.30360055
219,2468,6,68,1.36,0,0.05627278,0.009155011,0.010351346,0.030373272,0.2859158
220,2472,6,72,1.44,0,0.03263607,0.005422961,0.005719228,0.024304219,0.15488115
221,2536,6,136,2.72,0,0.078665525,0.014398968,0.017145328,0.05592577,0.36905405
222,2540,6,140,2.8,0,0.096199974,0.024553517,0.015848145,0.06819042,0.44397736
223,2546,6,146,2.92,0,0.1012474,0.020578712,0.024646617,0.093865834,0.42944488
224,2551,6,151,3.02,0,0.07250674,0.022326563,0.011683002,0.0233891,0.37282944
225,2555,6,155,3.1,0,0.0621171,0.015362415,0.016504038,0.011678073,0.33129817
226,2560,6,160,3.2,0,0.06761584,0.015576296,0.0147364875,0.030322522,0.3393292
227,2567,6,167,3.34,0,0.068339415,0.0138789825,0.019373456,0.020092098,0.35743585
228,2572,6,172,3.44,0,0.07667719,0.00437213,0.022591125,0.049521912,0.38079125
229,2576,6,176,3.52,0,0.05298373,0.003737515,0.02530021,0.017284457,0.27352956
230,2580,6,180,3.6,0,0.07127555,0.0039293044,0.019460272,0.047633015,0.35417974
231,2586,6,186,3.72,0,0.06387218,0.007572771,0.009843553,0.04671427,0.3138817
232,2590,6,190,3.8,0,0.06649004,0.006123395,0.008291713,0.03521184,0.3564731
233,2594,6,194,3.88,0,0.06029111,0.007905276,0.008651375,0.029250873,0.3203247
234,2600,6,200,4.0,0,0.061162587,0.0052856677,0.0044900985,0.06667983,0.2768008
235,2604,6,204,4.08,0,0.049694918,0.003737525,0.0045712185,0.018170249,0.2846761
236,2610,6,210,4.2,0,0.03192515,0.0027114889,0.0037970904,0.01576563,0.17390297
237,2672,6,272,5.44,0,0.034395307,0.043867465,0.011681847,0.013764691,0.084533736
238,2678,6,278,5.56,0,0.03499755,0.0080231875,0.014835418,0.009705145,0.17369528
239,2683,6,283,5.66,0,0.07034033,0.011179757,0.008836279,0.0130301565,0.40640536
240,2690,6,290,5.8,0,0.0749655,0.01788347,0.017177384,0.059508808,0.33023155
241,2696,6,296,5.92,0,0.101999134,0.027317438,0.027154783,0.044432897,0.49694076
242,2701,6,301,6.02,0,0.08459747,0.028746828,0.034548525,0.025235815,0.3972666
243,2707,6,307,6.14,0,0.10210716,0.021453287,0.024109485,0.07765204,0.46105418
244,2711,6,311,6.22,0,0.07334411,0.013530273,0.013017074,0.025500102,0.3931948
245,2716,6,316,6.32,0,0.08402926,0.010811978,0.013694828,0.034042317,0.45540518
246,2720,6,320,6.4,0,0.07196687,0.018269824,0.017525759,0.035540387,0.34870598
247,2724,6,324,6.48,0,0.09115797,0.025392575,0.01870232,0.06313436,0.412076
248,2728,6,328,6.56,0,0.09938128,0.015856974,0.021269947,0.06072776,0.4888794
249,2732,6,332,6.64,0,0.04222283,0.009195076,0.011358643,0.037569664,0.17848319
250,2736,6,336,6.72,0,0.03394256,0.0012125918,0.004152386,0.023542993,0.1772954
251,3600,9,0,0.0,0,0.47959766,0.48018414,0.58997685,0.543266,0.18814987
252,3620,9,20,0.4,0,0.039619215,0.010325047,0.0034304578,0.02413418,0.19409527
253,3624,9,24,0.48,0,0.057697143,0.01203483,0.010956294,0.03923184,0.27291945
254,3629,9,29,0.58,0,0.07283753,0.009548109,0.009717876,0.03998483,0.38046673
255,3634,9,34,0.68,0,0.040356174,0.0060630688,0.005496723,0.027880007,0.19926612
256,3640,9,40,0.8,0,0.052959673,0.007918864,0.0062815347,0.036646307,0.26304072
257,3646,9,46,0.92,0,0.05130843,0.00723458,0.007003323,0.03208323,0.26003125
258,3650,9,50,1.0,0,0.039056405,0.008253471,0.006317497,0.02260876,0.1929075
259,3655,9,55,1.1,0,0.03767383,0.012859521,0.0064559905,0.0076758666,0.1976002
260,3660,9,60,1.2,0,0.047436003,0.021661963,0.008626213,0.023602309,0.21198124
261,3666,9,66,1.32,0,0.04382258,0.038505036,0.017031502,0.016383179,0.14661428
262,3670,9,70,1.4,0,0.040714614,0.031693645,0.023669582,0.016773349,0.13007404
263,3681,9,81,1.62,0,0.03972254,0.00817952,0.0070874905,0.0039290497,0.22737049
264,3686,9,86,1.72,0,0.047029987,0.013852473,0.0099961795,0.03699627,0.20289005
265,3692,9,92,1.84,0,0.05435768,0.010606015,0.009759161,0.027781146,0.27506998
266,3696,9,96,1.92,0,0.043970652,0.011599323,0.009997538,0.025583146,0.20677143
267,3700,9,100,2.0,0,0.037008304,0.0066968594,0.009294421,0.016182492,0.1886345
268,3706,9,106,2.12,0,0.031240053,0.005556887,0.0057059103,0.018015038,0.15576604
269,3710,9,110,2.2,0,0.032688875,0.004696428,0.0066929786,0.024081124,0.15567733
270,3748,9,148,2.96,0,0.047809176,0.013638515,0.0060004224,0.026723998,0.23236392
271,3752,9,152,3.04,0,0.08261034,0.011080645,0.012082906,0.077144876,0.37616777
272,3756,9,156,3.12,0,0.06471184,0.013665443,0.013165207,0.031364843,0.3253095
273,3760,9,160,3.2,0,0.08977056,0.021927832,0.01707437,0.044531755,0.4446286
274,3764,9,164,3.28,0,0.13605821,0.033186592,0.024409886,0.07105276,0.6705149
275,3771,9,171,3.42,0,0.08182122,0.023309277,0.025500158,0.03897513,0.38362765
276,3775,9,175,3.5,0,0.069080725,0.020809658,0.01996945,0.027660865,0.33259845
277,3780,9,180,3.6,0,0.057680216,0.016582228,0.01944846,0.024545768,0.27251917
278,3784,9,184,3.68,0,0.06923654,0.014398961,0.014901595,0.019938206,0.36991298
279,3790,9,190,3.8,0,0.054466218,0.0050727283,0.017786609,0.021506134,0.28578383
280,3794,9,194,3.88,0,0.061750736,0.0030915723,0.02564173,0.031235335,0.3096628
281,3798,9,198,3.96,0,0.07988052,0.008827944,0.023056801,0.07682194,0.34547368
282,3802,9,202,4.04,0,0.06798623,0.0051446822,0.015667439,0.033117972,0.35992825
283,3806,9,206,4.12,0,0.042339064,0.0032082696,0.009327593,0.02540289,0.2168903
284,3813,9,213,4.26,0,0.039528918,0.0049997405,0.0053700465,0.016320568,0.21570902
285,3820,9,220,4.4,0,0.0411049,0.0066968817,0.00450497,0.025638837,0.20816693
286,3826,9,226,4.52,0,0.04142621,0.006416544,0.0049751867,0.034822,0.19487415
287,3830,9,230,4.6,0,0.036976736,0.006586182,0.0050482717,0.021510089,0.18687987
288,3900,9,300,6.0,0,0.045801353,0.021125203,0.012588781,0.029810425,0.18538487
289,3904,9,304,6.08,0,0.08489859,0.029875545,0.021362834,0.044626005,0.3862996
290,3911,9,311,6.22,0,0.10345724,0.03389895,0.037308782,0.029314803,0.49957812
291,3917,9,317,6.34,0,0.100207016,0.035280544,0.03996196,0.020932743,0.4842343
292,3921,9,321,6.42,0,0.07926,0.022078197,0.026259577,0.026696974,0.38862327
293,3926,9,326,6.52,0,0.07950029,0.011014108,0.012305047,0.029567886,0.43451405
294,3930,9,330,6.6,0,0.07505495,0.008684744,0.012724427,0.040200014,0.39189452
295,3934,9,334,6.68,0,0.06528162,0.009723171,0.010980985,0.023626694,0.35484394
296,3939,9,339,6.78,0,0.0836933,0.007425708,0.011952721,0.038495988,0.4565475
297,3946,9,346,6.92,0,0.07475744,0.009274723,0.008971333,0.049445458,0.3793806
298,3950,9,350,7.0,0,0.03517567,0.0019173123,0.0053785536,0.01784302,0.19132811
299,4000,10,0,0.0,0,0.52696645,0.4932414,0.6550643,0.6357109,0.21092111
300,4004,10,4,0.08,0,0.03672858,0.0014851432,0.014225342,0.03682821,0.1563026
301,4022,10,22,0.44,0,0.05865083,0.01203483,0.010906212,0.055942904,0.25150907
302,4026,10,26,0.52,0,0.08357993,0.0127468575,0.016807798,0.07497687,0.37448236
303,4030,10,30,0.6,0,0.061992615,0.0089929635,0.008945433,0.034754112,0.31946793
304,4034,10,34,0.68,0,0.050022054,0.0058154985,0.005218549,0.031959325,0.25794774
305,4038,10,38,0.76,0,0.037616447,0.0036378452,0.0038270194,0.024817305,0.19454746
306,4042,10,42,0.84,0,0.034378767,0.0051597604,0.0035238583,0.025880057,0.1681458
307,4060,10,60,1.2,0,0.031943563,0.03804068,0.016484156,0.01068024,0.07892152
